Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
"Energy Policy","ENERG POLICY","ELSEVIER SCI LTD","0301-4215","1873-6777","ENVIRONMENTAL STUDIES","SSCI","67,215","9.3","Q1","2","26"%,
"Journal of Integrative Plant Biology","J INTEGR PLANT BIOL","WILEY","1672-9072","1744-7909","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","10,706","9.3","Q1","1.96","24.51"%,
"Journal of Integrative Plant Biology","J INTEGR PLANT BIOL","WILEY","1672-9072","1744-7909","PLANT SCIENCES","SCIE","10,706","9.3","Q1","1.96","24.51"%,
"Journal of Neuroinflammation","J NEUROINFLAMM","BMC","N/A","1742-2094","IMMUNOLOGY","SCIE","26,924","9.3","Q1","1.93","100"%,
"Journal of Neuroinflammation","J NEUROINFLAMM","BMC","N/A","1742-2094","NEUROSCIENCES","SCIE","26,924","9.3","Q1","1.93","100"%,
"GREEN CHEMISTRY","GREEN CHEM","ROYAL SOC CHEMISTRY","1463-9262","1463-9270","CHEMISTRY, MULTIDISCIPLINARY","SCIE","67,326","9.3","Q1","1.41","18.11"%,
"GREEN CHEMISTRY","GREEN CHEM","ROYAL SOC CHEMISTRY","1463-9262","1463-9270","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE","67,326","9.3","Q1","1.41","18.11"%,
"Current Opinion in Green and Sustainable Chemistry","CURR OPIN GREEN SUST","ELSEVIER","2452-2236","2452-2236","CHEMISTRY, MULTIDISCIPLINARY","SCIE","5,405","9.3","Q1","1.34","20.38"%,
"Current Opinion in Green and Sustainable Chemistry","CURR OPIN GREEN SUST","ELSEVIER","2452-2236","2452-2236","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE","5,405","9.3","Q1","1.34","20.38"%,
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","ELSEVIER SCI LTD","1359-6101","1879-0305","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","7,900","9.3","Q1","1.34","19.23"%,
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","ELSEVIER SCI LTD","1359-6101","1879-0305","CELL BIOLOGY","SCIE","7,900","9.3","Q1","1.34","19.23"%,
"Journal of Educational Evaluation for Health Professions","J EDUC EVAL HEALTH P","KOREA HEALTH PERSONNEL LICENSING EXAMINATION INST","1975-5937","1975-5937","EDUCATION, SCIENTIFIC DISCIPLINES","ESCI","1,239","9.3","Q1","1.16","98.99"%,
"JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY","J AM ACAD CHILD PSY","ELSEVIER SCIENCE INC","0890-8567","1527-5418","PEDIATRICS","SCIE","20,121","9.2","Q1","3.33","25.91"%,
"JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY","J AM ACAD CHILD PSY","ELSEVIER SCIENCE INC","0890-8567","1527-5418","PSYCHIATRY","SCIE, SSCI","20,121","9.2","Q1","3.33","25.91"%,
"JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY","J AM ACAD CHILD PSY","ELSEVIER SCIENCE INC","0890-8567","1527-5418","PSYCHOLOGY, DEVELOPMENTAL","SSCI","20,121","9.2","Q1","3.33","25.91"%,
"ANGIOGENESIS","ANGIOGENESIS","SPRINGER","0969-6970","1573-7209","PERIPHERAL VASCULAR DISEASE","SCIE","4,736","9.2","Q1","2","57.41"%,
"CELLULAR & MOLECULAR BIOLOGY LETTERS","CELL MOL BIOL LETT","BMC","1425-8153","1689-1392","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","4,030","9.2","Q1","1.48","100"%,
"CELLULAR & MOLECULAR BIOLOGY LETTERS","CELL MOL BIOL LETT","BMC","1425-8153","1689-1392","CELL BIOLOGY","SCIE","4,030","9.2","Q1","1.48","100"%,
"npj 2D Materials and Applications","NPJ 2D MATER APPL","NATURE PORTFOLIO","N/A","2397-7132","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","3,865","9.2","Q1","1.4","100"%,
"npj 2D Materials and Applications","NPJ 2D MATER APPL","NATURE PORTFOLIO","N/A","2397-7132","NANOSCIENCE & NANOTECHNOLOGY","SCIE","3,865","9.2","Q1","1.4","100"%,
"npj 2D Materials and Applications","NPJ 2D MATER APPL","NATURE PORTFOLIO","N/A","2397-7132","PHYSICS, APPLIED","SCIE","3,865","9.2","Q1","1.4","100"%,
"AUTOIMMUNITY REVIEWS","AUTOIMMUN REV","ELSEVIER","1568-9972","1873-0183","IMMUNOLOGY","SCIE","13,270","9.2","Q1","1.32","19.73"%,
"JOURNAL OF NUCLEAR MEDICINE","J NUCL MED","SOC NUCLEAR MEDICINE INC","0161-5505","1535-5667","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","29,686","9.1","Q1","2.97","18.75"%,
"BRITISH JOURNAL OF ANAESTHESIA","BRIT J ANAESTH","ELSEVIER SCI LTD","0007-0912","1471-6771","ANESTHESIOLOGY","SCIE","27,771","9.1","Q1","2.78","30.64"%,
"International Journal of Contemporary Hospitality Management","INT J CONTEMP HOSP M","EMERALD GROUP PUBLISHING LTD","0959-6119","1757-1049","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","15,139","9.1","Q1","2.4","3.22"%,
"International Journal of Contemporary Hospitality Management","INT J CONTEMP HOSP M","EMERALD GROUP PUBLISHING LTD","0959-6119","1757-1049","MANAGEMENT","SSCI","15,139","9.1","Q1","2.4","3.22"%,
"LEADERSHIP QUARTERLY","LEADERSHIP QUART","ELSEVIER SCIENCE INC","1048-9843","1873-3409","MANAGEMENT","SSCI","13,479","9.1","Q1","2.29","9.63"%,
"LEADERSHIP QUARTERLY","LEADERSHIP QUART","ELSEVIER SCIENCE INC","1048-9843","1873-3409","PSYCHOLOGY, APPLIED","SSCI","13,479","9.1","Q1","2.29","9.63"%,
"PHARMACOLOGICAL RESEARCH","PHARMACOL RES","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1043-6618","1096-1186","PHARMACOLOGY & PHARMACY","SCIE","31,066","9.1","Q1","2.12","37.17"%,

Copyright (c) 2025 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
